Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,gauche,Couple,Bien irrigue,2,3,5,482,46,194,5,3,1,,,30,22,-8,"0,5"
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,droite,Couple,Bien irrigue,2,3,5,118,44,217,4,2,0,,,"33,5",29,-13,"-0,5"
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,gauche,Couple,Bien irrigue,2,3,6,89,48,226,5,3,0,,,"25,5",63,"9,5","0,5"
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,droite,Couple,Bien irrigue,2,3,6,265,41,235,4,2,0,,,"27,5","37,5","12,5","0,5"
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,gauche,Monoculture,Bien irrigue,2,3,7,412,63,209,5,3,0,,,30,25,"-0,5",0
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,droite,Monoculture,Bien irrigue,2,3,7,412,38,215,5,2,0,,,38,75,75,"2,5"
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,gauche,Couple,Bien irrigue,2,3,8,131,51,211,5,3,0,,,29,39,0,0
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,droite,Couple,Bien irrigue,2,3,8,74,49,293,6,3,0,,,27,"28,5","0,5","0,5"
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,gauche,Monoculture,Bien irrigue,2,3,9,482,53,192,4,3,0,,,45,"69,5",47,2
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,droite,Monoculture,Bien irrigue,2,3,9,482,46,241,4,3,0,,,"31,5","37,5",-1,"0,5"
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,gauche,Monoculture,Bien irrigue,2,4,1,165,50,214,3,3,0,,,29,31,16,"-0,5"
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,droite,Monoculture,Bien irrigue,2,4,1,165,51,210,5,3,0,,,58,"87,5","89,5",2
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,gauche,Couple,Bien irrigue,2,4,2,130,61,191,4,3,0,,,26,"37,5","-0,5",0
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,droite,Couple,Bien irrigue,2,4,2,74,49,219,4,3,0,,,25,49,-1,0
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,gauche,Monoculture,Bien irrigue,2,4,3,265,39,184,3,3,0,,,"19,5",31,"-1,5",0
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,droite,Monoculture,Bien irrigue,2,4,3,265,46,252,4,2,0,,,"29,5",33,"-0,5","-0,5"
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,gauche,Monoculture,Bien irrigue,2,4,4,130,44,205,4,3,0,,,"31,5",28,-2,0
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,droite,Monoculture,Bien irrigue,2,4,4,130,41,212,3,3,0,,,"25,5",37,"-2,5",0
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,gauche,Couple,Bien irrigue,2,4,5,329,55,227,5,2,0,,,"23,5",12,"16,5",0
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,droite,Couple,Bien irrigue,2,4,5,235,44,194,4,3,0,,,"40,25","98,5",51,"2,5"
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,gauche,Monoculture,Bien irrigue,2,4,6,74,48,215,4,3,0,,,25,26,-1,0
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,droite,Monoculture,Bien irrigue,2,4,6,74,47,217,4,3,0,,,"26,5","30,5",1,0
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,gauche,Couple,Bien irrigue,2,4,7,329,47,189,5,3,0,,,19,"42,5",-1,0
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,droite,Couple,Bien irrigue,2,4,7,114,40,210,4,3,0,,,"35,5",67,"54,5","2,5"
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,gauche,Monoculture,Bien irrigue,2,4,8,329,50,195,4,3,0,,,"23,5",41,"-0,5",0
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,droite,Monoculture,Bien irrigue,2,4,8,329,53,178,4,3,0,,,NA,42,1,"0,5"
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,gauche,Monoculture,Bien irrigue,2,4,9,376,48,244,5,3,0,,,40,"29,5","11,5","0,5"
