Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,Couple,Bien irrigue,2,3,6,droite,265,41,15/11/2021,23/11/2021,
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,Monoculture,Bien irrigue,2,3,7,gauche,412,63,15/11/2021,23/11/2021,
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,Monoculture,Bien irrigue,2,3,7,droite,412,38,17/11/2021,23/11/2021,
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,Couple,Bien irrigue,2,3,8,gauche,131,51,15/11/2021,23/11/2021,
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,Couple,Bien irrigue,2,3,8,droite,74,49,15/11/2021,21/11/2021,
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,Monoculture,Bien irrigue,2,3,9,gauche,482,53,17/11/2021,21/11/2021,
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,Monoculture,Bien irrigue,2,3,9,droite,482,46,15/11/2021,21/11/2021,
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,Monoculture,Bien irrigue,2,4,1,gauche,165,50,15/11/2021,23/11/2021,
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,Monoculture,Bien irrigue,2,4,1,droite,165,51,17/11/2021,21/11/2021,
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,Couple,Bien irrigue,2,4,2,gauche,130,61,15/11/2021,21/11/2021,
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,Couple,Bien irrigue,2,4,2,droite,74,49,15/11/2021,21/11/2021,
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,Monoculture,Bien irrigue,2,4,3,gauche,265,39,15/11/2021,21/11/2021,
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,Monoculture,Bien irrigue,2,4,3,droite,265,46,15/11/2021,23/11/2021,
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,Monoculture,Bien irrigue,2,4,4,gauche,130,44,15/11/2021,21/11/2021,
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,Monoculture,Bien irrigue,2,4,4,droite,130,41,15/11/2021,21/11/2021,
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,Couple,Bien irrigue,2,4,5,gauche,329,55,15/11/2021,23/11/2021,
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,Couple,Bien irrigue,2,4,5,droite,235,44,17/11/2021,21/11/2021,
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,gauche,74,48,15/11/2021,21/11/2021,
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,droite,74,47,15/11/2021,21/11/2021,
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,gauche,329,47,15/11/2021,21/11/2021,
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,droite,114,40,17/11/2021,23/11/2021,
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,gauche,329,50,15/11/2021,21/11/2021,
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,droite,329,53,15/11/2021,21/11/2021,
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,gauche,376,48,15/11/2021,23/11/2021,
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,droite,376,48,15/11/2021,23/11/2021,
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,gauche,412,56,15/11/2021,21/11/2021,
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,droite,74,44,15/11/2021,21/11/2021,
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,gauche,165,49,NA,21/11/2021,
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,droite,74,41,15/11/2021,21/11/2021,
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,gauche,412,56,17/11/2021,23/11/2021,
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,droite,131,45,17/11/2021,23/11/2021,
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,gauche,395,45,NA,23/11/2021,
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,droite,235,43,17/11/2021,23/11/2021,
